"YEAR","COMPANY_NAME","REGISTRATION_COUNT"
"2019","롯데글로벌로지스","11"
"2019","씨제이대한통운","7"
"2019","비지에프로지스","5"
"2019","농협물류","3"
"2019","일죽창고","3"
"2020","씨제이대한통운","18"
"2020","비지에프로지스","4"
"2020","지에스네트웍스","4"
"2020","한진","4"
"2020","롯데글로벌로지스","4"
"2021","씨제이대한통운","16"
"2021","오뚜기물류","10"
"2021","쿠팡로지스","6"
"2021","라인물류시스템","5"
"2021","에스로지스","3"
"2022","쿠팡로지스","42"
"2022","씨제이대한통운","16"
"2022","한솔로지스유","6"
"2022","쿠팡풀필먼트","5"
"2022","진성비에프","4"
"2023","쿠팡로지스","37"
"2023","씨제이대한통운","25"
"2023","쿠팡풀필먼트","22"
"2023","롯데글로벌로지스","10"
"2023","한진","7"
"2024","쿠팡로지스","48"
"2024","씨제이대한통운","22"
"2024","쿠팡풀필먼트","8"
"2024","롯데글로벌로지스","5"
"2024","동원로엑스","4"
"2025","쿠팡로지스","42"
"2025","씨제이대한통운","21"
"2025","롯데글로벌로지스","10"
"2025","쿠팡풀필먼트","6"
"2025","한익스프레스","4"
